stream_ID,year,month,day,Value
flow_236212,1977,1,2,0.207
flow_236212,1977,1,3,0.207
flow_236212,1977,1,4,0.185
flow_236212,1977,1,5,0.184
flow_236212,1977,1,6,0.183
flow_236212,1977,1,7,0.176
flow_236212,1977,1,8,0.178
flow_236212,1977,1,9,0.17
flow_236212,1977,1,10,0.164
flow_236212,1977,1,11,0.161
flow_236212,1977,1,12,0.162
flow_236212,1977,1,13,0.162
flow_236212,1977,1,14,0.166
flow_236212,1977,1,15,0.204
flow_236212,1977,1,16,0.239
flow_236212,1977,1,17,0.31
flow_236212,1977,1,18,0.357
flow_236212,1977,1,19,0.313
flow_236212,1977,1,20,0.278
flow_236212,1977,1,21,0.259
flow_236212,1977,1,22,0.248
flow_236212,1977,1,23,0.24
flow_236212,1977,1,24,0.235
flow_236212,1977,1,25,0.255
flow_236212,1977,1,26,0.257
flow_236212,1977,1,27,0.225
flow_236212,1977,1,28,0.224
flow_236212,1977,1,29,0.22
flow_236212,1977,1,30,0.215
flow_236212,1977,1,31,0.223
flow_236212,1977,2,1,0.237
flow_236212,1977,2,2,0.203
flow_236212,1977,2,3,0.201
flow_236212,1977,2,4,0.218
flow_236212,1977,2,5,0.217
flow_236212,1977,2,6,0.221
flow_236212,1977,2,7,0.22
flow_236212,1977,2,8,0.202
flow_236212,1977,2,9,0.191
flow_236212,1977,2,10,0.153
flow_236212,1977,2,11,0.168
flow_236212,1977,2,12,0.185
flow_236212,1977,2,13,0.215
flow_236212,1977,2,14,0.252
flow_236212,1977,2,15,0.265
flow_236212,1977,2,16,0.256
flow_236212,1977,2,17,0.196
flow_236212,1977,2,18,0.195
flow_236212,1977,2,19,0.202
flow_236212,1977,2,20,0.218
flow_236212,1977,2,21,0.202
flow_236212,1977,2,22,0.197
flow_236212,1977,2,23,0.182
flow_236212,1977,2,24,0.194
flow_236212,1977,2,25,0.23
flow_236212,1977,2,26,0.237
flow_236212,1977,2,27,0.238
flow_236212,1977,2,28,0.239
flow_236212,1977,3,1,0.22
flow_236212,1977,3,2,0.205
flow_236212,1977,3,3,0.201
flow_236212,1977,3,4,0.185
flow_236212,1977,3,5,0.179
flow_236212,1977,3,6,0.181
flow_236212,1977,3,7,0.199
flow_236212,1977,3,8,0.19
flow_236212,1977,3,9,0.198
flow_236212,1977,3,10,0.206
flow_236212,1977,3,11,0.197
flow_236212,1977,3,12,0.187
flow_236212,1977,3,13,0.199
flow_236212,1977,3,14,0.199
flow_236212,1977,3,15,0.214
flow_236212,1977,3,16,0.23
flow_236212,1977,3,17,0.249
